Date,BTC_supply
10/3/2016,15907262.5
10/2/2016,15905500
10/1/2016,15903537.5
9/30/2016,15901762.5
9/29/2016,15899975
9/28/2016,15898125
9/27/2016,15896037.5
9/26/2016,15894125
9/25/2016,15891812.5
9/24/2016,15889737.5
9/23/2016,15888037.5
9/22/2016,15886275
9/21/2016,15884200
9/20/2016,15882312.5
9/19/2016,15880650
9/18/2016,15878837.5
9/17/2016,15876800
9/16/2016,15875062.5
9/15/2016,15873137.5
9/14/2016,15871187.5
9/13/2016,15869125
9/12/2016,15867087.5
9/11/2016,15865037.5
9/10/2016,15863100
9/9/2016,15861325
9/8/2016,15859525
9/7/2016,15857625
9/6/2016,15855925
9/5/2016,15854175
9/4/2016,15851937.5
9/3/2016,15850362.5
9/2/2016,15848450
9/1/2016,15846700
8/31/2016,15845025
8/30/2016,15842975
8/29/2016,15841112.5
8/28/2016,15839212.5
8/27/2016,15837412.5
8/26/2016,15835762.5
8/25/2016,15834137.5
8/24/2016,15832237.5
8/23/2016,15830400
8/22/2016,15828425
8/21/2016,15826387.5
8/20/2016,15824450
8/19/2016,15822525
8/18/2016,15820600
8/17/2016,15819062.5
8/16/2016,15817375
8/15/2016,15815550
8/14/2016,15813512.5
8/13/2016,15811475
8/12/2016,15809612.5
8/11/2016,15807737.5
8/10/2016,15805850
8/9/2016,15804300
8/8/2016,15802450
8/7/2016,15800600
8/6/2016,15798525
8/5/2016,15796412.5
8/4/2016,15794500
8/3/2016,15792425
8/2/2016,15790500
8/1/2016,15788587.5
7/31/2016,15786662.5
7/30/2016,15785175
7/29/2016,15783337.5
7/28/2016,15781637.5
7/27/2016,15780037.5
7/26/2016,15778425
7/25/2016,15776787.5
7/24/2016,15775237.5
7/23/2016,15773600
7/22/2016,15771987.5
7/21/2016,15770325
7/20/2016,15768450
7/19/2016,15766850
7/18/2016,15765000
7/17/2016,15763137.5
7/16/2016,15761175
7/15/2016,15759487.5
7/14/2016,15757725
7/13/2016,15756112.5
7/12/2016,15754325
7/11/2016,15752537.5
7/10/2016,15750587.5
7/9/2016,15747450
7/8/2016,15743825
7/7/2016,15740400
7/6/2016,15736900
7/5/2016,15733275
7/4/2016,15729500
7/3/2016,15725650
7/2/2016,15721925
7/1/2016,15718050
6/30/2016,15714300
6/29/2016,15710650
6/28/2016,15706950
6/27/2016,15703275
6/26/2016,15699625
6/25/2016,15695575
6/24/2016,15692350
6/23/2016,15688850
6/22/2016,15685625
6/21/2016,15681900
6/20/2016,15677800
6/19/2016,15673375
6/18/2016,15669425
6/17/2016,15665700
6/16/2016,15661975
6/15/2016,15658175
6/14/2016,15654875
6/13/2016,15650850
6/12/2016,15647200
6/11/2016,15643300
6/10/2016,15639700
6/9/2016,15635575
6/8/2016,15631975
6/7/2016,15628475
6/6/2016,15624225
6/5/2016,15619975
6/4/2016,15617000
6/3/2016,15613450
6/2/2016,15610000
6/1/2016,15606425
5/31/2016,15603250
5/30/2016,15599650
5/29/2016,15595975
5/28/2016,15592650
5/27/2016,15589175
5/26/2016,15585800
5/25/2016,15582350
5/24/2016,15578675
5/23/2016,15574175
5/22/2016,15569575
5/21/2016,15566050
5/20/2016,15562325
5/19/2016,15559325
5/18/2016,15555500
5/17/2016,15551975
5/16/2016,15548450
5/15/2016,15544975
5/14/2016,15541375
5/13/2016,15537575
5/12/2016,15534100
5/11/2016,15530775
5/10/2016,15526825
5/9/2016,15522500
5/8/2016,15518350
5/7/2016,15514600
5/6/2016,15510550
5/5/2016,15506675
5/4/2016,15502500
5/3/2016,15498725
5/2/2016,15494800
5/1/2016,15490925
4/30/2016,15487275
4/29/2016,15483325
