Date,S&P Adj Close,S&P Volume
9/3/2015,1951.130005,3520700000
9/4/2015,1921.219971,3167090000
9/8/2015,1969.410034,3548650000
9/9/2015,1942.040039,3652120000
9/10/2015,1952.290039,3626320000
9/11/2015,1961.050049,3218590000
9/14/2015,1953.030029,3000200000
9/15/2015,1978.089966,3239860000
9/16/2015,1995.310059,3630680000
9/17/2015,1990.199951,4183790000
9/18/2015,1958.030029,6021240000
9/21/2015,1966.969971,3269350000
9/22/2015,1942.73999,3808260000
9/23/2015,1938.76001,3190530000
9/24/2015,1932.23999,4091530000
9/25/2015,1931.339966,3721870000
9/28/2015,1881.77002,4326660000
9/29/2015,1884.089966,4132390000
9/30/2015,1920.030029,4525070000
10/1/2015,1923.819946,3983600000
10/2/2015,1951.359985,4378570000
10/5/2015,1987.050049,4334490000
10/6/2015,1979.920044,4202400000
10/7/2015,1995.829956,4666470000
10/8/2015,2013.430054,3939140000
10/9/2015,2014.890015,3706900000
10/12/2015,2017.459961,2893250000
10/13/2015,2003.689941,3401920000
10/14/2015,1994.23999,3644590000
10/15/2015,2023.859985,3746290000
10/16/2015,2033.109985,3595430000
10/19/2015,2033.660034,3287320000
10/20/2015,2030.77002,3331500000
10/21/2015,2018.939941,3627790000
10/22/2015,2052.51001,4430850000
10/23/2015,2075.149902,4108460000
10/26/2015,2071.179932,3385800000
10/27/2015,2065.889893,4216880000
10/28/2015,2090.350098,4698110000
10/29/2015,2089.409912,4008940000
10/30/2015,2079.360107,4256200000
11/2/2015,2104.050049,3760020000
11/3/2015,2109.790039,4272060000
11/4/2015,2102.310059,4078870000
11/5/2015,2099.929932,4051890000
11/6/2015,2099.199951,4369020000
11/9/2015,2078.580078,3882350000
11/10/2015,2081.719971,3821440000
11/11/2015,2075,3692410000
11/12/2015,2045.969971,4016370000
11/13/2015,2023.040039,4278750000
11/16/2015,2053.189941,3741240000
11/17/2015,2050.439941,4427350000
11/18/2015,2083.580078,3926390000
11/19/2015,2081.23999,3628110000
11/20/2015,2089.169922,3929600000
11/23/2015,2086.590088,3587980000
11/24/2015,2089.139893,3884930000
11/25/2015,2088.870117,2852940000
11/27/2015,2090.110107,1466840000
11/30/2015,2080.409912,4275030000
12/1/2015,2102.629883,3712120000
12/2/2015,2079.51001,3950640000
12/3/2015,2049.620117,4306490000
12/4/2015,2091.689941,4214910000
12/7/2015,2077.070068,4043820000
12/8/2015,2063.590088,4173570000
12/9/2015,2047.619995,4385250000
12/10/2015,2052.22998,3715150000
12/11/2015,2012.369995,4301060000
12/14/2015,2021.939941,4612440000
12/15/2015,2043.410034,4353540000
12/16/2015,2073.070068,4635450000
12/17/2015,2041.890015,4327390000
12/18/2015,2005.550049,6683070000
12/21/2015,2021.150024,3760280000
12/22/2015,2038.969971,3520860000
12/23/2015,2064.290039,3484090000
12/24/2015,2060.98999,1411860000
12/28/2015,2056.5,2492510000
12/29/2015,2078.360107,2542000000
12/30/2015,2063.360107,2367430000
12/31/2015,2043.939941,2655330000
1/4/2016,2012.660034,4304880000
1/5/2016,2016.709961,3706620000
1/6/2016,1990.26001,4336660000
1/7/2016,1943.089966,5076590000
1/8/2016,1922.030029,4664940000
1/11/2016,1923.670044,4607290000
1/12/2016,1938.680054,4887260000
1/13/2016,1890.280029,5087030000
1/14/2016,1921.839966,5241110000
1/15/2016,1880.329956,5468460000
1/19/2016,1881.329956,4928350000
1/20/2016,1859.329956,6416070000
1/21/2016,1868.98999,5078810000
1/22/2016,1906.900024,4901760000
1/25/2016,1877.079956,4401380000
1/26/2016,1903.630005,4357940000
1/27/2016,1882.949951,4754040000
1/28/2016,1893.359985,4693010000
1/29/2016,1940.23999,5497570000
2/1/2016,1939.380005,4322530000
2/2/2016,1903.030029,4463190000
2/3/2016,1912.530029,5172950000
2/4/2016,1915.449951,5193320000
2/5/2016,1880.050049,4929940000
2/8/2016,1853.439941,5636460000
2/9/2016,1852.209961,5183220000
2/10/2016,1851.859985,4471170000
2/11/2016,1829.079956,5500800000
2/12/2016,1864.780029,4696920000
2/16/2016,1895.579956,4570670000
2/17/2016,1926.819946,5011540000
2/18/2016,1917.829956,4436490000
2/19/2016,1917.780029,4142850000
2/22/2016,1945.5,4054710000
2/23/2016,1921.27002,3890650000
2/24/2016,1929.800049,4317250000
2/25/2016,1951.699951,4118210000
2/26/2016,1948.050049,4348510000
2/29/2016,1932.22998,4588180000
3/1/2016,1978.349976,4819750000
3/2/2016,1986.449951,4666610000
3/3/2016,1993.400024,5081700000
3/4/2016,1999.98999,6049930000
3/7/2016,2001.76001,4968180000
3/8/2016,1979.26001,4641650000
3/9/2016,1989.26001,4038120000
3/10/2016,1989.569946,4376790000
3/11/2016,2022.189941,4078620000
3/14/2016,2019.640015,3487850000
3/15/2016,2015.930054,3560280000
3/16/2016,2027.219971,4057020000
3/17/2016,2040.589966,4530480000
3/18/2016,2049.580078,6503140000
3/21/2016,2051.600098,3376600000
3/22/2016,2049.800049,3418460000
3/23/2016,2036.709961,3639510000
3/24/2016,2035.939941,3407720000
3/28/2016,2037.050049,2809090000
3/29/2016,2055.01001,3822330000
3/30/2016,2063.949951,3590310000
3/31/2016,2059.73999,3715280000
4/1/2016,2072.780029,3749990000
4/4/2016,2066.129883,3485710000
4/5/2016,2045.170044,4154920000
4/6/2016,2066.659912,3750800000
4/7/2016,2041.910034,3801250000
4/8/2016,2047.599976,3359530000
4/11/2016,2041.98999,3567840000
4/12/2016,2061.719971,4239740000
4/13/2016,2082.419922,4191830000
4/14/2016,2082.780029,3765870000
4/15/2016,2080.72998,3701450000
4/18/2016,2094.340088,3316880000
4/19/2016,2100.800049,3896830000
4/20/2016,2102.399902,4184880000
4/21/2016,2091.47998,4175290000
4/22/2016,2091.580078,3790580000
4/25/2016,2087.790039,3319740000
4/26/2016,2091.699951,3557190000
4/27/2016,2095.149902,4100110000
4/28/2016,2075.810059,4309840000
4/29/2016,2065.300049,4704720000
5/2/2016,2081.429932,3841110000
5/3/2016,2063.370117,4173390000
5/4/2016,2051.120117,4058560000
5/5/2016,2050.629883,4008530000
5/6/2016,2057.139893,3796350000
5/9/2016,2058.689941,3788620000
5/10/2016,2084.389893,3600200000
5/11/2016,2064.459961,3821980000
5/12/2016,2064.110107,3782390000
5/13/2016,2046.609985,3579880000
5/16/2016,2066.659912,3501360000
5/17/2016,2047.209961,4108960000
5/18/2016,2047.630005,4101320000
5/19/2016,2040.040039,3846770000
5/20/2016,2052.320068,3507650000
5/23/2016,2048.040039,3055480000
