Date,ETH_price,ETH_volume
3/4/2016,10.03776475,35604151.85
3/5/2016,10.93519774,54303350.01
3/6/2016,10.96466178,41487265.46
3/7/2016,9.397469869,31891736.92
3/8/2016,9.800690787,26473661.6
3/9/2016,11.97157976,28637679.64
3/10/2016,11.20642297,26154096.47
3/11/2016,11.20893669,21083465.44
3/12/2016,13.37620667,49863322.39
3/13/2016,14.89359978,41625885.68
3/14/2016,12.28982461,56738456.43
3/15/2016,12.96689767,30654519.11
3/16/2016,12.52943315,23016882.43
3/17/2016,10.95623221,41222397.15
3/18/2016,10.79765034,56331932.5
3/19/2016,10.43953587,26241552.22
3/20/2016,10.21749097,17365910.96
3/21/2016,11.85112269,28692538.04
3/22/2016,11.31742768,19752147.76
3/23/2016,12.40319151,19194415.66
3/24/2016,11.12762219,25440037.39
3/25/2016,10.64069143,13369781.43
3/26/2016,10.96552244,9099233
3/27/2016,10.37751682,16296116.83
3/28/2016,11.67625154,23146182.98
3/29/2016,11.73817083,17227685.67
3/30/2016,11.88228676,18966041.62
3/31/2016,11.35463054,14483801.49
4/1/2016,11.6360718,11085851.67
4/2/2016,11.56397763,8250251.461
4/3/2016,11.51238012,6190954.954
4/4/2016,11.18688124,8612716.039
4/5/2016,10.41948469,19160809.11
4/6/2016,10.66622342,16326497.51
4/7/2016,10.0295684,12647730.14
4/8/2016,9.758944911,14041839.9
4/9/2016,9.899719595,12961939.64
4/10/2016,8.814617176,42148632
4/11/2016,8.668292119,14850316.57
4/12/2016,7.516812234,22286939.44
4/13/2016,8.015604593,30653780.44
4/14/2016,8.433656021,13178565.12
4/15/2016,8.206137459,11510142.23
4/16/2016,8.555981967,9164981.892
4/17/2016,9.323170276,23406128.93
4/18/2016,8.960482405,20650475.77
4/19/2016,8.696773039,11931697.81
4/20/2016,8.484150723,14929127.4
4/21/2016,8.111040745,12241737
4/22/2016,7.855106665,12838519.62
4/23/2016,8.377192624,14263735.84
4/24/2016,7.995361207,10251449.9
4/25/2016,7.812751656,9849771.906
4/26/2016,7.424663266,17588527.34
4/27/2016,7.72469455,18898653.06
4/28/2016,7.250216005,10503191.4
4/29/2016,7.47581761,8232651.036
4/30/2016,8.892970092,36023474.61
5/1/2016,8.832454373,16329848.83
5/2/2016,10.10782117,40531647.26
5/3/2016,9.285335811,20068196.22
5/4/2016,9.414136136,16758119.37
5/5/2016,9.827130178,17630163.28
5/6/2016,9.277042147,20206557.48
5/7/2016,9.381202894,10242971.6
5/8/2016,9.529202062,14850766.42
5/9/2016,9.353276546,10349090.13
5/10/2016,9.350283704,8837274.152
5/11/2016,9.98130292,14650764.26
5/12/2016,10.09149229,22804335.07
5/13/2016,10.58566158,27489270.97
5/14/2016,10.17609857,18055946.18
5/15/2016,9.960446893,8453161.312
5/16/2016,11.13364598,27963225.28
5/17/2016,12.15713716,36364157.81
5/18/2016,13.35361431,62651459.73
5/19/2016,14.71832476,53477909.08
5/20/2016,13.69368343,48337340.57
5/21/2016,13.99924844,24426995.17
5/22/2016,14.24898607,17413663.62
5/23/2016,13.2350366,21271913.58
5/24/2016,12.66434299,41166028.01
5/25/2016,12.50426453,25364775.56
5/26/2016,12.49835341,19032556.07
5/27/2016,11.19174476,53491048.64
5/28/2016,11.76324561,44051409.77
5/29/2016,12.38905214,26254518.55
5/30/2016,12.67843107,13289827.48
5/31/2016,14.00927376,39491270.92
6/1/2016,13.85793783,20161807.32
6/2/2016,13.77433887,9543717.947
