Date,Monero_price,Monero_volume
7/15/2015,0.5374622,19411.64554
7/16/2015,0.536564739,13229.6819
7/17/2015,0.531327897,10229.10292
7/18/2015,0.526970839,15969.24058
7/19/2015,0.540991913,14418.86017
7/20/2015,0.544288708,22923.54106
7/21/2015,0.582455198,43458.26999
7/22/2015,0.568182939,29126.38482
7/23/2015,0.573680076,36007.5674
7/24/2015,0.577034697,17499.30373
7/25/2015,0.565430279,27352.97082
7/26/2015,0.577826367,18897.51657
7/27/2015,0.59471337,18286.4812
7/28/2015,0.610727768,31567.44007
7/29/2015,0.587663849,23211.08334
7/30/2015,0.581620148,17699.53716
7/31/2015,0.572853484,18590.257
8/1/2015,0.582660382,38952.23285
8/2/2015,0.614931218,58671.20311
8/3/2015,0.595876209,43025.71807
8/4/2015,0.617942862,23886.25006
8/5/2015,0.618718214,29847.20145
8/6/2015,0.73290621,190042.6417
8/7/2015,0.73176026,130526.4533
8/8/2015,0.6744387,59629.72989
8/9/2015,0.673252738,102901.3378
8/10/2015,0.654966253,32376.5771
8/11/2015,0.604953264,61485.66263
8/12/2015,0.626087284,57827.07364
8/13/2015,0.57903012,46370.03736
8/14/2015,0.6102823,56666.14466
8/15/2015,0.609706962,48083.91865
8/16/2015,0.617511192,61764.55375
8/17/2015,0.607830689,46262.9629
8/18/2015,0.594176438,50445.00252
8/19/2015,0.532516522,38104.9379
8/20/2015,0.596708182,69880.00996
8/21/2015,0.567176391,39007.13532
8/22/2015,0.546778313,22393.21736
8/23/2015,0.540270177,31452.75529
8/24/2015,0.433680666,73291.11498
8/25/2015,0.484770001,32793.78652
8/26/2015,0.498916776,25969.87578
8/27/2015,0.459308157,21783.79891
8/28/2015,0.474293829,23643.16132
8/29/2015,0.474553155,31123.90379
8/30/2015,0.458405055,19877.41032
8/31/2015,0.467310489,20184.87239
9/1/2015,0.455249797,13485.39003
9/2/2015,0.468894776,17792.20787
9/3/2015,0.4559487,25905.2387
9/4/2015,0.467296815,18170.10279
9/5/2015,0.480979025,25868.78026
9/6/2015,0.50178537,20454.92621
9/7/2015,0.49845879,14840.09568
9/8/2015,0.516383724,23499.92056
9/9/2015,0.506588567,46114.86174
9/10/2015,0.496987396,18293.76619
9/11/2015,0.497257298,24755.91239
9/12/2015,0.466715074,21703.81046
9/13/2015,0.461938132,18251.09452
9/14/2015,0.482874756,60137.63913
9/15/2015,0.503004162,39648.19188
9/16/2015,0.508936984,43071.87157
9/17/2015,0.501445638,61637.85341
9/18/2015,0.497565286,12515.8562
9/19/2015,0.494299058,12861.83246
9/20/2015,0.484838429,22970.176
9/21/2015,0.480034818,11178.18644
9/22/2015,0.473379703,19529.92509
9/23/2015,0.463845693,27258.11383
9/24/2015,0.466229103,15783.90283
9/25/2015,0.449105344,71360.72038
9/26/2015,0.452287056,38938.27791
9/27/2015,0.44051715,16451.69678
9/28/2015,0.448946438,23009.07574
9/29/2015,0.436940171,19020.99349
9/30/2015,0.395950493,92515.31095
10/1/2015,0.404896852,27144.71427
10/2/2015,0.410759859,24728.82039
10/3/2015,0.410373942,15570.36437
10/4/2015,0.401050558,7421.465734
10/5/2015,0.422663642,17966.60499
10/6/2015,0.409430863,11460.0638
10/7/2015,0.393595684,19476.68609
10/8/2015,0.391113776,27043.72028
10/9/2015,0.395791982,20539.75673
10/10/2015,0.389239075,13011.65834
10/11/2015,0.381276966,32136.00513
10/12/2015,0.397744171,16704.04946
10/13/2015,0.38827587,20981.90677
10/14/2015,0.385618067,16578.4725
10/15/2015,0.389697879,28378.60016
10/16/2015,0.409185978,37519.52864
10/17/2015,0.421565279,24317.6733
10/18/2015,0.410747635,10963.12105
10/19/2015,0.388111406,28212.57367
10/20/2015,0.401397523,38164.51235
10/21/2015,0.394267408,20800.88196
10/22/2015,0.402472913,15440.27296
10/23/2015,0.393226954,22744.9672
10/24/2015,0.398389349,20410.96885
10/25/2015,0.396917198,19158.02604
10/26/2015,0.381391788,19235.65582
10/27/2015,0.411187131,22281.35469
10/28/2015,0.445534881,39693.02836
10/29/2015,0.446369471,49946.76475
10/30/2015,0.461195042,65996.66888
10/31/2015,0.396015004,19653.37537
11/1/2015,0.419327518,25992.37779
11/2/2015,0.423659182,33627.92642
11/3/2015,0.432564203,62740.20087
11/4/2015,0.48261313,82466.12441
11/5/2015,0.42953674,18519.34722
11/6/2015,0.438094037,16775.42489
11/7/2015,0.452030367,15016.00857
