Date,Ripple_price,Ripple_volume
1/25/2015,0.016536,896470
1/26/2015,0.015957,3059140
1/27/2015,0.015807,1331190
1/28/2015,0.014986,1301450
1/29/2015,0.014684,1082340
1/30/2015,0.014479,852954
1/31/2015,0.014409,519002
2/1/2015,0.014154,883401
2/2/2015,0.01374,1465150
2/3/2015,0.01303,1285370
2/4/2015,0.013472,642894
2/5/2015,0.014311,1106030
2/6/2015,0.015242,1867760
2/7/2015,0.014572,532315
2/8/2015,0.014452,472920
2/9/2015,0.014005,608469
2/10/2015,0.013651,808432
2/11/2015,0.013761,437299
2/12/2015,0.014057,585122
2/13/2015,0.014568,980751
2/14/2015,0.015,816914
2/15/2015,0.013711,1140340
2/16/2015,0.01379,403599
2/17/2015,0.013988,423184
2/18/2015,0.013767,402140
2/19/2015,0.01377,296507
2/20/2015,0.013504,1034010
2/21/2015,0.013278,333174
2/22/2015,0.013132,594182
2/23/2015,0.013333,432861
2/24/2015,0.013398,611327
2/25/2015,0.013413,483777
2/26/2015,0.013293,863495
2/27/2015,0.013434,980864
2/28/2015,0.013025,530068
3/1/2015,0.012271,1541400
3/2/2015,0.012145,1246390
3/3/2015,0.010593,3050010
3/4/2015,0.009903,3043820
3/5/2015,0.011531,3093860
3/6/2015,0.010873,986763
3/7/2015,0.010579,1136160
3/8/2015,0.010461,1370390
3/9/2015,0.010688,2114810
3/10/2015,0.010113,1657920
3/11/2015,0.010081,1233900
3/12/2015,0.010354,682560
3/13/2015,0.010539,696782
3/14/2015,0.011083,795320
3/15/2015,0.010828,409912
3/16/2015,0.010973,858078
3/17/2015,0.010917,791119
3/18/2015,0.010557,1627630
3/19/2015,0.010491,2781010
3/20/2015,0.010441,473002
3/21/2015,0.010182,395304
3/22/2015,0.010197,306337
3/23/2015,0.010298,652545
3/24/2015,0.009801,627596
3/25/2015,0.009135,1141160
3/26/2015,0.008749,614812
3/27/2015,0.008933,469718
3/28/2015,0.008869,410183
3/29/2015,0.008869,410183
3/30/2015,0.008869,410183
3/31/2015,0.008869,410183
4/1/2015,0.007641,725414
4/2/2015,0.007909,385165
4/3/2015,0.008722,1008220
4/4/2015,0.008848,303697
4/5/2015,0.008715695,195218.4706
4/6/2015,0.008788328,455711.4616
4/7/2015,0.009064408,975135.9998
4/8/2015,0.009189533,870230.0105
4/9/2015,0.008886663,705618.2752
4/10/2015,0.008442744,529357.2169
4/11/2015,0.008387972,291629.279
4/12/2015,0.008594057,199152.2149
4/13/2015,0.008228402,350339.02
4/14/2015,0.008136352,576876.9918
4/15/2015,0.007900817,364410.9241
4/16/2015,0.008050477,258195.4592
4/17/2015,0.008050149,277507.1038
4/18/2015,0.007861143,181624.3343
4/19/2015,0.007762747,227824.2963
4/20/2015,0.007933352,672612.4775
4/21/2015,0.007952694,637786.2103
4/22/2015,0.008031616,623316.072
4/23/2015,0.008020194,369870.036
4/24/2015,0.008080149,428945.4964
4/25/2015,0.008073029,287289.5922
4/26/2015,0.007717863,498330.3331
4/27/2015,0.007758476,787016.921
4/28/2015,0.007611468,581629.4463
4/29/2015,0.007852324,544565.5318
4/30/2015,0.00802729,583316.9815
5/1/2015,0.008026846,632072.1373
5/2/2015,0.008060212,100326.2938
5/3/2015,0.008037453,435646.4559
5/4/2015,0.008017439,262166.7225
5/5/2015,0.007912732,563851.8377
5/6/2015,0.007813383,505242.1262
5/7/2015,0.007523931,2159727.764
5/8/2015,0.007538041,437391.4553
